,symbol,market,opening_time,exact_opening_time,opening_price,trade_direction,id,closing_time,closing_price,number_of_take_profit_touches,reason_for_closing,is_closed,is_successful,PnL_ratio,fees,taxes,n_shares,invested_budget,is_analyzed,gain,stat_Vola(22)_1d,stat_market_index_change(t_1)_ratio_1d,stat_vix_change(t_1)_ratio_1d,stat_gold_futures_change(t_1)_ratio_1d,stat_treasuries_20years_change(t_1)_ratio_1d,stat_russel_2000_change(t_1)_ratio_1d,stat_ATR_1d,stat_ATR,duration
0,AAPL,US,2019-02-11 09:30:00-05:00,2019-02-11 09:30:00-05:00,41.20963979477365,-1,US-AAPL-20190211-093000,2019-03-11 09:30:00-04:00,43.1224,0,Stop loss at daily close,True,0,-0.04641535851203755,,,0,0,False,0,,0.000676201086956,-0.0397068136152294,0.0032838908489685,0.0042684495484934,0.0005047785731955,,,27
1,AMZN,US,2019-02-11 09:30:00-05:00,2019-02-11 09:30:00-05:00,80.0690158519745,1,US-AMZN-20190211-093000,2019-03-01 09:30:00-05:00,82.7358,1,Take Profit at Open,True,1,0.033306068766420796,,,0,0,False,0,,0.000676201086956,-0.0397068136152294,0.0032838908489685,0.0042684495484934,0.0005047785731955,,,18
2,GOOG,US,2019-02-11 09:30:00-05:00,2019-02-11 09:30:00-05:00,54.83378797245026,-1,US-GOOG-20190211-093000,2019-02-15 09:30:00-05:00,56.5181,0,Stop Loss at Open,True,0,-0.03071668199169413,,,0,0,False,0,,0.000676201086956,-0.0397068136152294,0.0032838908489685,0.0042684495484934,0.0005047785731955,,,4
3,NVDA,US,2019-02-12 09:30:00-05:00,2019-02-12 09:30:00-05:00,36.72178147469733,1,US-NVDA-20190212-093000,2019-02-13 09:30:00-05:00,37.814,1,Take Profit at Close,True,1,0.029743070228094703,,,0,0,False,0,,0.0007091030986317,0.015903307617898,-0.0051000619783067,-0.0039235805075867,0.0083577066349918,,,1
4,MSFT,US,2019-02-13 09:30:00-05:00,2019-02-13 09:30:00-05:00,102.10721266152018,1,US-MSFT-20190213-093000,2019-02-22 09:30:00-05:00,105.1441,1,Take Profit at Close,True,1,0.029742143177945032,,,0,0,False,0,,0.0128902247439735,-0.0338133971711882,0.0016832067114576,-0.0025438919713195,0.0126729780823442,,,9
5,NVDA,US,2019-02-15 09:30:00-05:00,2019-02-15 09:30:00-05:00,40.43118018242193,1,US-NVDA-20190215-093000,2019-02-15 09:30:00-05:00,39.0197,0,Stop loss at daily close,True,0,-0.03491068467587288,,,0,0,False,0,,-0.0026516415551012,0.036421706627348,-0.00076289286142,0.005697630800822,0.0014064344872262,,,0
6,NVDA,US,2019-02-19 09:30:00-05:00,2019-02-19 09:30:00-05:00,38.932534790931136,1,US-NVDA-20190219-093000,2019-02-25 09:30:00-05:00,40.3142,1,Take Profit at Open,True,1,0.03548870415164197,,,0,0,False,0,,0.0108787526085869,-0.0807644587792192,0.0063367891650625,0.0015600345376181,0.0156234927463398,,,6
7,GOOG,US,2019-02-19 09:30:00-05:00,2019-02-19 09:30:00-05:00,55.486125,-1,US-GOOG-20190219-093000,2019-03-04 09:30:00-05:00,57.3638,0,Stop Loss at Open,True,0,-0.033840442092505044,,,0,0,False,0,,0.0108787526085869,-0.0807644587792192,0.0063367891650625,0.0015600345376181,0.0156234927463398,,,13
8,MSFT,US,2019-02-25 09:30:00-05:00,2019-02-25 09:30:00-05:00,106.60686999019967,1,US-MSFT-20190225-093000,2019-03-15 09:30:00-04:00,109.9668,1,Take Profit at Open,True,1,0.031517012084767274,,,0,0,False,0,,0.0064111023949868,-0.0656984651977136,0.004306725479316,0.0059578936549653,0.00920948831579,,,17
9,NVDA,US,2019-02-27 09:30:00-05:00,2019-02-27 09:30:00-05:00,38.816350730368434,-1,US-NVDA-20190227-093000,2019-03-07 09:30:00-05:00,37.5296,1,Take Profit at Open,True,1,0.033149708979770924,,,0,0,False,0,,-0.0007904570968998,0.0215488004447139,-0.0006034005682129,0.0049499532642827,-0.0071311722025653,,,8
10,AMZN,US,2019-03-05 09:30:00-05:00,2019-03-05 09:30:00-05:00,85.16878595924378,1,US-AMZN-20190305-093000,2019-03-07 09:30:00-05:00,81.2772,0,Stop loss at daily close,True,0,-0.045692631583430614,,,0,0,False,0,,-0.003880558492514,0.0781135183091417,-0.0089478365994172,0.007837315003101,-0.0089328861322907,1.399990989119801,1.399990989119801,2
11,GOOG,US,2019-03-05 09:30:00-05:00,2019-03-05 09:30:00-05:00,57.5173741016388,1,US-GOOG-20190305-093000,2019-03-12 09:30:00-04:00,59.2281,1,Take Profit at Close,True,1,0.02974276773028925,,,0,0,False,0,,-0.003880558492514,0.0781135183091417,-0.0089478365994172,0.007837315003101,-0.0089328861322907,0.9406718764401142,0.9406718764401129,6
12,NVDA,US,2019-03-08 09:30:00-05:00,2019-03-08 09:30:00-05:00,36.178427597862274,1,US-NVDA-20190308-093000,2019-03-11 09:30:00-04:00,37.6325,1,Take Profit at Open,True,1,0.04019169706047823,,,0,0,False,0,,-0.0081257175586835,0.0540025663170224,-0.0008560787337824,0.0064847116155852,-0.0085826198691001,1.1569910290050405,1.1569910290050414,2
13,AMZN,US,2019-03-11 09:30:00-04:00,2019-03-11 09:30:00-04:00,81.28567325592041,-1,US-AMZN-20190311-093000,2019-03-13 09:30:00-04:00,84.171,0,Stop Loss at Open,True,0,-0.03549612900412853,,,0,0,False,0,,-0.0021316888487414,-0.032549783638375,0.0102819369604512,0.0042129209932457,-0.001148572812554,1.5155045272972216,1.5155045272972216,2
14,AAPL,US,2019-03-12 09:30:00-04:00,2019-03-12 09:30:00-04:00,43.38758098793383,1,US-AAPL-20190312-093000,2019-03-15 09:30:00-04:00,44.678,1,Take Profit at Close,True,1,0.029741667608181123,,,0,0,False,0,,0.0146660418677571,-0.107165071346726,-0.0063222445426946,-0.002961222957282,0.0177412147563362,0.6471893436079276,0.6471893436079276,3
15,NVDA,US,2019-03-12 09:30:00-04:00,2019-03-12 09:30:00-04:00,40.28132398218565,-1,US-NVDA-20190312-093000,2019-03-13 09:30:00-04:00,41.8811,0,Stop loss at daily close,True,0,-0.039715080331566434,,,0,0,False,0,,0.0146660418677571,-0.107165071346726,-0.0063222445426946,-0.002961222957282,0.0177412147563362,1.3639250145955883,1.3639250145955892,1
16,GOOG,US,2019-03-13 09:30:00-04:00,2019-03-13 09:30:00-04:00,60.047257513046276,1,US-GOOG-20190313-093000,2019-04-18 09:30:00-04:00,61.9435,1,Take Profit at Open,True,1,0.0315791688994578,,,0,0,False,0,0.1756700913655023,0.0029533182046204,-0.0390788184873593,0.0058193666324108,0.0070124699453282,0.000613314891328,1.0524577381999831,1.0524577381999813,36
17,AMZN,US,2019-03-14 09:30:00-04:00,2019-03-14 09:30:00-04:00,84.58113755798341,1,US-AMZN-20190314-093000,2019-03-19 09:30:00-04:00,87.6536,1,Take Profit at Open,True,1,0.0363256221271593,,,0,0,False,0,0.2089381638749176,0.0069495838138418,-0.0261438343052915,0.0086399373216099,-0.0018842300123381,0.0039036855653031,1.5518831281017509,1.5518831281017509,5
