,symbol,market,opening_time,exact_opening_time,opening_price,trade_direction,id,closing_time,closing_price,number_of_take_profit_touches,reason_for_closing,is_closed,is_successful,PnL_ratio,fees,taxes,n_shares,invested_budget,is_analyzed,gain,stat_Vola(22)_1d,stat_market_index_change(t_1)_ratio_1d,stat_vix_change(t_1)_ratio_1d,stat_gold_futures_change(t_1)_ratio_1d,stat_treasuries_20years_change(t_1)_ratio_1d,stat_russel_2000_change(t_1)_ratio_1d,stat_ATR_1d,stat_ATR,duration
0,MSFT,US,2019-02-08 09:30:00-05:00,2019-02-08 09:30:00-05:00,99.10367528677514,-1,US-MSFT-20190208-093000,2019-02-13 09:30:00-05:00,102.1072,0,Stop Loss at Open,True,0,-0.030306895324856507,,,0,0,False,0,,-0.0093571401439401,0.0643693574399215,-7.634638101372548e-05,0.0066100356665625,-0.0081619573451102,,,5
1,AMZN,US,2019-02-08 09:30:00-05:00,2019-02-08 09:30:00-05:00,79.31982805252076,1,US-AMZN-20190208-093000,2019-02-12 09:30:00-05:00,81.679,1,Take Profit at Close,True,1,0.02974252473060254,,,0,0,False,0,,-0.0093571401439401,0.0643693574399215,-7.634638101372548e-05,0.0066100356665625,-0.0081619573451102,,,4
2,NVDA,US,2019-02-08 09:30:00-05:00,2019-02-08 09:30:00-05:00,35.90547103720963,1,US-NVDA-20190208-093000,2019-02-12 09:30:00-05:00,36.9734,1,Take Profit at Close,True,1,0.029742792169016534,,,0,0,False,0,,-0.0093571401439401,0.0643693574399215,-7.634638101372548e-05,0.0066100356665625,-0.0081619573451102,,,4
3,GOOG,US,2019-02-08 09:30:00-05:00,2019-02-08 09:30:00-05:00,54.363585973739625,1,US-GOOG-20190208-093000,2019-02-12 09:30:00-05:00,55.9805,1,Take Profit at Close,True,1,0.02974259326898388,,,0,0,False,0,,-0.0093571401439401,0.0643693574399215,-7.634638101372548e-05,0.0066100356665625,-0.0081619573451102,,,4
4,AAPL,US,2019-02-12 09:30:00-05:00,2019-02-12 09:30:00-05:00,40.98076325855462,-1,US-AAPL-20190212-093000,2019-03-04 09:30:00-05:00,42.3487,0,Stop Loss at Open,True,0,-0.03337997227662251,,,0,0,False,0,,0.0007091030986317,0.015903307617898,-0.0051000619783067,-0.0039235805075867,0.0083577066349918,,,20
5,AMZN,US,2019-02-13 09:30:00-05:00,2019-02-13 09:30:00-05:00,82.32941097450257,-1,US-AMZN-20190213-093000,2019-03-04 09:30:00-05:00,84.8297,0,Stop loss at daily close,True,0,-0.03036932969521399,,,0,0,False,0,,0.0128902247439735,-0.0338133971711882,0.0016832067114576,-0.0025438919713195,0.0126729780823442,,,19
6,NVDA,US,2019-02-13 09:30:00-05:00,2019-02-13 09:30:00-05:00,37.8035872761712,1,US-NVDA-20190213-093000,2019-02-15 09:30:00-05:00,40.411,1,Take Profit at Open,True,1,0.06897262698326877,,,0,0,False,0,,0.0128902247439735,-0.0338133971711882,0.0016832067114576,-0.0025438919713195,0.0126729780823442,,,2
7,GOOG,US,2019-02-13 09:30:00-05:00,2019-02-13 09:30:00-05:00,56.26356264972687,1,US-GOOG-20190213-093000,2019-03-05 09:30:00-05:00,57.937,1,Take Profit at Close,True,1,0.02974282593321078,,,0,0,False,0,,0.0128902247439735,-0.0338133971711882,0.0016832067114576,-0.0025438919713195,0.0126729780823442,,,20
8,MSFT,US,2019-02-14 09:30:00-05:00,2019-02-14 09:30:00-05:00,100.92644356577003,-1,US-MSFT-20190214-093000,2019-02-21 09:30:00-05:00,104.3652,0,Stop loss at daily close,True,0,-0.03407190734893043,,,0,0,False,0,,0.0030239946687606,0.0142578942970401,0.0012221950167488,-0.0037837441810818,0.0030619354695353,,,7
9,NVDA,US,2019-02-21 09:30:00-05:00,2019-02-21 09:30:00-05:00,39.446264066039724,-1,US-NVDA-20190221-093000,2019-03-06 09:30:00-05:00,38.2724,1,Take Profit at Close,True,1,0.029758561268932324,,,0,0,False,0,,0.0017771107537685,-0.0577956754074634,0.0023879361991543,-0.0028619023635493,0.0045666564687489,,,13
10,MSFT,US,2019-02-22 09:30:00-05:00,2019-02-22 09:30:00-05:00,104.97569917452891,1,US-MSFT-20190222-093000,2019-03-12 09:30:00-04:00,108.0979,1,Take Profit at Close,True,1,0.02974212936920021,,,0,0,False,0,,-0.0035264367908802,0.0313837065632653,-0.0147398556602438,-0.0089391538970298,-0.0038630206362465,,,17
11,AAPL,US,2019-03-05 09:30:00-05:00,2019-03-05 09:30:00-05:00,42.38774532264397,-1,US-AAPL-20190305-093000,2019-03-08 09:30:00-05:00,41.0543,1,Take Profit at Open,True,1,0.03145827437845897,,,0,0,False,0,,-0.003880558492514,0.0781135183091417,-0.0089478365994172,0.007837315003101,-0.0089328861322907,0.5611287457847511,0.56112874578475,3
12,AMZN,US,2019-03-05 09:30:00-05:00,2019-03-05 09:30:00-05:00,85.16878595924378,1,US-AMZN-20190305-093000,2019-03-07 09:30:00-05:00,81.2772,0,Stop loss at daily close,True,0,-0.045692631583430614,,,0,0,False,0,,-0.003880558492514,0.0781135183091417,-0.0089478365994172,0.007837315003101,-0.0089328861322907,1.399990989119801,1.399990989119801,2
13,GOOG,US,2019-03-06 09:30:00-05:00,2019-03-06 09:30:00-05:00,58.10996914958954,-1,US-GOOG-20190306-093000,2019-03-08 09:30:00-05:00,56.3506,1,Take Profit at Open,True,1,0.03027654592382391,,,0,0,False,0,,-0.0011315328231061,0.0075187734666295,-0.0021793654434236,0.0020906399550693,-0.0045447064792479,0.9636149776476606,0.9636149776476587,2
14,NVDA,US,2019-03-07 09:30:00-05:00,2019-03-07 09:30:00-05:00,37.52959280732494,1,US-NVDA-20190307-093000,2019-03-08 09:30:00-05:00,36.1603,0,Stop Loss at Open,True,0,-0.03648568249474009,,,0,0,False,0,,-0.0065240986535923,0.0678426062094939,0.0022621095273498,0.0036715514608209,-0.0200602458872841,1.1572338226614742,1.1572338226614756,1
15,AAPL,US,2019-03-11 09:30:00-04:00,2019-03-11 09:30:00-04:00,42.30047203449958,1,US-AAPL-20190311-093000,2019-03-12 09:30:00-04:00,43.5586,1,Take Profit at Close,True,1,0.029742646003437317,,,0,0,False,0,,-0.0021316888487414,-0.032549783638375,0.0102819369604512,0.0042129209932457,-0.001148572812554,0.5626562193775766,0.5626562193775758,1
16,NVDA,US,2019-03-11 09:30:00-04:00,2019-03-11 09:30:00-04:00,37.63246774750765,-1,US-NVDA-20190311-093000,2019-03-11 09:30:00-04:00,40.0233,0,Stop loss at daily close,True,0,-0.06353110480379523,,,0,0,False,0,,-0.0021316888487414,-0.032549783638375,0.0102819369604512,0.0042129209932457,-0.001148572812554,1.1939540010542269,1.1939540010542278,0
17,GOOG,US,2019-03-11 09:30:00-04:00,2019-03-11 09:30:00-04:00,57.236805472373966,1,US-GOOG-20190311-093000,2019-03-12 09:30:00-04:00,58.9392,1,Take Profit at Close,True,1,0.02974300388668118,,,0,0,False,0,,-0.0021316888487414,-0.032549783638375,0.0102819369604512,0.0042129209932457,-0.001148572812554,0.9715528021500204,0.9715528021500182,1
18,AAPL,US,2019-03-13 09:30:00-04:00,2019-03-13 09:30:00-04:00,43.929915210422244,1,US-AAPL-20190313-093000,2019-03-18 09:30:00-04:00,45.2365,1,Take Profit at Close,True,1,0.029742483756667295,,,0,0,False,0,0.1539107358300307,0.0029533182046204,-0.0390788184873593,0.0058193666324108,0.0070124699453282,0.000613314891328,0.67040159365402,0.67040159365402,5
19,AMZN,US,2019-03-13 09:30:00-04:00,2019-03-13 09:30:00-04:00,84.12896402549744,-1,US-AMZN-20190313-093000,2019-03-18 09:30:00-04:00,87.1293,0,Stop loss at daily close,True,0,-0.035663531689196046,,,0,0,False,0,0.2166847161498011,0.0029533182046204,-0.0390788184873593,0.0058193666324108,0.0070124699453282,0.000613314891328,1.5716731080525386,1.5716731080525386,5
20,NVDA,US,2019-03-13 09:30:00-04:00,2019-03-13 09:30:00-04:00,40.720724487082606,-1,US-NVDA-20190313-093000,2019-03-14 09:30:00-04:00,41.973,0,Stop Loss at Open,True,0,-0.030752780769277295,,,0,0,False,0,0.3266923768765487,0.0029533182046204,-0.0390788184873593,0.0058193666324108,0.0070124699453282,0.000613314891328,1.3574679280557438,1.3574679280557447,1
21,GOOG,US,2019-03-14 09:30:00-04:00,2019-03-14 09:30:00-04:00,59.74042957401276,1,US-GOOG-20190314-093000,2019-03-21 09:30:00-04:00,61.5173,1,Take Profit at Close,True,1,0.029743181270329936,,,0,0,False,0,0.1743785584010443,0.0069495838138418,-0.0261438343052915,0.0086399373216099,-0.0018842300123381,0.0039036855653031,0.9998155638410646,0.9998155638410627,7
22,NVDA,US,2019-03-15 09:30:00-04:00,2019-03-15 09:30:00-04:00,41.553280109809904,1,US-NVDA-20190315-093000,2019-03-19 09:30:00-04:00,42.888,1,Take Profit at Open,True,1,0.03212068666211005,,,0,0,False,0,0.3498241474284469,-0.0008680223820187,0.0067114208510046,-0.0107839201422084,-0.0072231593884232,-0.0040105857873307,1.366793134379638,1.366793134379638,4
